"","UsedAIPreviously","ChatGPT","Dalle","ChatSonic","Claude","Bard.AI","LaMDA","Jasper.chat","Socratic","Bing.AI","Other","HowManyTimesUsedLastMonth","AIReliableInfo","AICreateUsefulThings","AIProvidesAccurateInfo","AIEasyToUse","AIEnjoyableToUse","IFearOthersUseofAI","AIWillChangeMyLife","FriendsUseAIPersonalLives","FriendsUseAIStudyLives","IUseAIToSupportStudies","AIIsValuableToMe","AIComplexToUse","AIHelpsMeLearn","LecturersUseAISupportTeaching","IUseAIToPlanWork","IUseAIToHelpMeCreateWork","AISystemsWontHelpMeStudy","UniShouldBeAwareHowAIUsed","EasyToCheatWithAI","EasyCatchAICheats","AISystemsGaveMeInaccurateinfo","UniShouldShowMeHowToUseAI","AISystemsWillDevelopSafely","GovernmentsMustDoMoreToProtectFromAI","AISystemsWillBecomeSentient","AISystemsPoseNoDangerToUs","Gender","QualificationStudied","Year","Region"
"11","Yes","1",1,0,0,0,0,0,0,1,1,20,"Neither agree/disagree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Disagree","Agree",NA,"Strongly disagree","Agree",NA,"Agree","Agree",NA,"Strongly agree",NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Male","A-level, level 3 or equivalent",2004,"United Kingdom"
"12","Yes","0",0,0,0,0,0,0,0,0,0,3,"Neither agree/disagree","Disagree","Neither agree/disagree","Agree","Agree","Strongly agree","Agree","Disagree","Neither agree/disagree","Strongly disagree","Disagree","Neither agree/disagree",NA,NA,NA,"Disagree","Agree","Strongly agree","Agree","Disagree",NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"13","Yes","1",0,0,0,0,0,0,0,0,0,3,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Disagree","Agree","Strongly agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree",NA,NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"14","Yes","1",0,0,0,0,0,0,0,0,0,10,"Agree","Agree","Neither agree/disagree","Agree","Agree","Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Disagree",NA,"Disagree","Agree",NA,"Agree","Agree",NA,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"15","No","0",0,0,0,0,0,0,0,0,0,0,"Disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Disagree","Disagree","Disagree","Disagree",NA,"Agree","Agree","Strongly disagree",NA,"Agree","Disagree","Agree","Agree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"United Kingdom"
"16","No","0",0,0,0,0,0,0,0,0,0,0,"Disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree","Disagree","Agree","Strongly agree",NA,"Strongly agree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"United Kingdom"
"17","Yes","1",0,0,0,0,0,0,0,0,1,10,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neither agree/disagree","Strongly agree","Agree",NA,"Strongly agree","Strongly disagree","Strongly agree",NA,NA,NA,"Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Female","A-level, level 3 or equivalent",2007,"United Kingdom"
"18","Yes","1",0,0,0,0,0,0,0,0,0,3,"Agree","Neither agree/disagree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Disagree","Agree",NA,NA,"Disagree","Disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1979,"European Union"
"19","Yes","1",0,0,1,0,0,1,0,0,0,3,"Agree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Disagree","Neither agree/disagree","Disagree","Disagree","Strongly disagree","Neither agree/disagree","Disagree","Agree",NA,"Disagree","Disagree",NA,NA,"Disagree","Agree",NA,NA,"Agree","Neither agree/disagree","Strongly agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"20","Yes","1",0,0,0,0,0,0,0,1,0,5,"Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Neither agree/disagree","Female","BTEC HNC or equivalent",2002,"European Union"
"21","Yes","1",1,0,0,1,0,1,0,1,1,8,"Neither agree/disagree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Agree","Strongly disagree",NA,NA,"Strongly agree","Agree","Disagree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"22","Yes","1",0,0,0,0,0,0,0,1,0,0,"Disagree","Agree","Disagree","Agree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Agree","Disagree","Agree",NA,"Disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly agree",NA,"Disagree","Agree","Disagree","Disagree","Male","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1977,"European Union"
"23","Yes","1",0,0,0,0,0,0,0,0,0,0,"Strongly agree","Agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly disagree","Agree","Agree",NA,NA,"Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,"Agree","Disagree","Agree","Neither agree/disagree","Male","High school",2007,"European Union"
"24","Yes","1",0,0,0,0,0,0,0,0,0,3,"Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neither agree/disagree","Agree","Strongly agree","Agree","Agree","Neither agree/disagree","Strongly agree",NA,NA,"Agree","Disagree","Strongly agree","Strongly agree",NA,"Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Female","A-level, level 3 or equivalent",2007,"United Kingdom"
"25","Yes","1",0,0,0,0,0,0,0,0,0,1,"Strongly agree","Agree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly disagree",NA,NA,NA,NA,NA,"Agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Neither agree/disagree","Female","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1995,"Other"
"26","Yes","1",0,1,0,1,0,0,0,0,0,3,"Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree",NA,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree",NA,NA,NA,NA,NA,NA,NA,"Agree",NA,NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Female","A-level, level 3 or equivalent",2004,"European Union"
"27","Yes","1",0,0,0,0,0,0,0,1,0,15,"Agree","Strongly agree","Agree","Strongly agree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Strongly agree",NA,"Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Male","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1996,"Africa"
"28","Yes","1",0,0,0,1,0,0,0,1,0,20,"Agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly disagree",NA,"Strongly agree",NA,"Disagree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1996,"Isle of Man"
"29","Yes","1",0,0,0,0,0,0,0,0,0,4,"Neither agree/disagree","Agree","Disagree","Strongly agree","Agree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Agree","Neither agree/disagree","Disagree",NA,"Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"Isle of Man"
"30","Yes","1",0,0,0,0,0,0,0,0,0,0,"Agree","Agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly agree","Agree","Agree",NA,"Strongly disagree","Strongly agree","Neither agree/disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1997,"Isle of Man"
"31","Yes","1",1,0,0,0,0,0,0,0,0,5,"Agree","Disagree","Neither agree/disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree",NA,"Agree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Neither agree/disagree","Agree","Strongly disagree","Neither agree/disagree","Male","A-level, level 3 or equivalent",1991,"Isle of Man"
"32","Yes","1",0,0,0,0,0,0,0,1,0,3,"Neither agree/disagree","Agree","Disagree","Neither agree/disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree",NA,"Strongly disagree","Strongly disagree",NA,"Agree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Neither agree/disagree","Disagree","Male","GCSE, level 2 or equivalent",1996,"Isle of Man"
"33","Yes","1",0,0,0,0,0,0,0,0,0,4,"Agree","Disagree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Agree","Disagree","Agree",NA,"Disagree",NA,"Disagree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1995,"Isle of Man"
"34","Yes","1",0,0,0,0,0,0,0,0,1,31,"Neither agree/disagree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Strongly disagree","Agree",NA,"Disagree","Agree",NA,"Agree","Agree","Neither agree/disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"Isle of Man"
"35","Yes","1",0,0,0,0,0,0,0,0,0,2,"Agree","Strongly agree","Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree",NA,"Agree",NA,"Disagree","Agree",NA,NA,"Strongly agree","Disagree","Disagree","Agree","Disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Isle of Man"
"36","Yes","1",1,0,0,0,0,0,0,0,0,20,"Disagree","Agree","Strongly disagree","Agree","Strongly agree","Disagree","Strongly disagree","Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Strongly agree",NA,NA,"Strongly agree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Isle of Man"
"37","Yes","1",0,0,0,0,0,0,0,1,0,7,"Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Strongly agree",NA,"Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Neither agree/disagree","Agree","Neither agree/disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Isle of Man"
"38","Yes","0",0,0,0,1,0,0,1,1,0,2,"Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Disagree","Disagree",NA,NA,"Agree","Agree","Strongly disagree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Isle of Man"
"39","Yes","1",0,0,0,0,0,0,0,0,0,0,"Disagree","Disagree","Strongly disagree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Isle of Man"
"40","Yes","1",0,0,0,0,0,0,0,0,0,3,"Neither agree/disagree","Agree","Agree","Agree","Agree","Agree","Neither agree/disagree","Disagree","Agree","Agree","Agree","Neither agree/disagree","Agree",NA,"Disagree","Disagree","Disagree","Agree",NA,NA,"Agree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Americas"
"41","Yes","1",0,0,0,0,0,0,0,0,0,30,"Neither agree/disagree","Agree","Disagree","Agree","Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree",NA,"Strongly agree","Disagree","Disagree","Disagree","Neither agree/disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"Americas"
"42","Yes","1",0,0,0,0,0,0,0,0,0,6,"Agree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Agree",NA,NA,NA,"Disagree","Strongly agree","Strongly agree",NA,"Agree",NA,"Strongly disagree","Strongly agree","Agree","Strongly disagree","Female","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1997,"Asia"
"43","Yes","1",0,0,0,0,0,0,0,0,0,4,"Disagree","Agree","Disagree","Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree",NA,NA,"Strongly agree","Strongly disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Americas"
"44","Yes","1",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Neither agree/disagree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree",NA,"Strongly agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Americas"
"45","Yes","1",0,0,1,0,0,0,0,1,0,15,"Neither agree/disagree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Male","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1995,"Asia"
"46","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Disagree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Agree","Disagree","Disagree","Neither agree/disagree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,"Neither agree/disagree","Agree","Neither agree/disagree","Disagree","Female","Not studying right now",2003,"Asia"
"47","Yes","1",0,0,0,0,0,0,0,0,0,1,"Neither agree/disagree","Agree","Disagree","Agree","Agree","Strongly disagree","Strongly agree","Neither agree/disagree","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",NA,"Agree","Agree","Neither agree/disagree","Agree","Disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"European Union"
"48","Yes","1",0,0,0,1,0,0,0,0,0,1,"Neither agree/disagree","Agree","Disagree","Strongly agree","Agree","Neither agree/disagree","Disagree","Agree","Disagree","Disagree","Neither agree/disagree","Strongly disagree","Strongly disagree",NA,"Agree","Disagree","Agree","Agree","Agree","Disagree",NA,"Agree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"49","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Agree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Agree","Agree",NA,"Neither agree/disagree","Agree","Neither agree/disagree","Disagree","Disagree","Disagree",NA,"Disagree",NA,"Disagree","Disagree",NA,"Disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"United Kingdom"
"50","Yes","1",0,0,0,0,0,0,0,0,0,10,"Agree","Neither agree/disagree","Agree","Strongly agree","Neither agree/disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Agree",NA,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Agree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"United Kingdom"
"51","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Strongly disagree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree",NA,"Strongly agree","Agree",NA,NA,"Agree","Neither agree/disagree","Agree","Neither agree/disagree","Strongly disagree","Female","A-level, level 3 or equivalent",2004,"United Kingdom"
"52","Yes","1",0,0,0,0,0,0,0,0,0,1,"Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Disagree",NA,NA,"Agree",NA,"Disagree","Agree","Agree","Disagree",NA,NA,"Neither agree/disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Male","BTEC HNC or equivalent",2005,"United Kingdom"
"53","Yes","1",0,0,0,0,0,0,0,0,0,1,"Neither agree/disagree","Agree","Disagree","Agree","Neither agree/disagree","Disagree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree",NA,"Agree",NA,"Disagree","Agree","Strongly agree","Disagree",NA,"Agree","Disagree","Agree","Neither agree/disagree","Disagree","Female","A-level, level 3 or equivalent",2004,"United Kingdom"
"54","Yes","1",1,0,0,0,0,0,0,0,0,6,"Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Disagree","Agree","Agree","Agree","Agree","Neither agree/disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree",NA,"Strongly disagree",NA,"Agree","Agree","Strongly agree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",1997,"United Kingdom"
"55","Yes","1",0,0,0,1,0,0,0,0,0,2,"Agree","Agree","Agree","Strongly agree","Agree","Disagree","Disagree","Neither agree/disagree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Disagree",NA,"Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"56","Yes","1",0,0,0,0,0,0,0,0,0,2,"Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Agree","Disagree","Disagree",NA,NA,"Agree","Agree",NA,NA,"Disagree","Strongly agree","Disagree","Strongly disagree","Female","A-level, level 3 or equivalent",2005,"United Kingdom"
"57","Yes","1",0,0,0,1,0,0,0,0,0,2,"Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Strongly disagree","Disagree",NA,"Agree","Disagree",NA,"Agree","Agree","Disagree",NA,"Agree","Agree","Disagree","Neither agree/disagree","Agree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"58","Yes","1",0,0,0,0,0,0,1,1,0,6,"Neither agree/disagree","Disagree","Disagree","Neither agree/disagree","Agree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree",NA,NA,"Strongly agree","Agree","Neither agree/disagree","Agree","Disagree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Americas"
