UsedAIPreviously,ChatGPT,Dalle,ChatSonic,Claude,Bard.AI,LaMDA,Jasper.chat,Socratic,Bing.AI,Other,HowManyTimesUsedLastMonth,AIReliableInfo,AICreateUsefulThings,AIProvidesAccurateInfo,AIEasyToUse,AIEnjoyableToUse,IFearOthersUseofAI,AIWillChangeMyLife,FriendsUseAIPersonalLives,FriendsUseAIStudyLives,IUseAIToSupportStudies,AIIsValuableToMe,AIComplexToUse,AIHelpsMeLearn,LecturersUseAISupportTeaching,IUseAIToPlanWork,IUseAIToHelpMeCreateWork,AISystemsWontHelpMeStudy,UniShouldBeAwareHowAIUsed,EasyToCheatWithAI,EasyCatchAICheats,AISystemsGaveMeInaccurateinfo,UniShouldShowMeHowToUseAI,AISystemsWillDevelopSafely,GovernmentsMustDoMoreToProtectFromAI,AISystemsWillBecomeSentient,AISystemsPoseNoDangerToUs,Gender,QualificationStudied,Year,Region
Yes,1,0,0,0,0,0,0,0,0,0,4,Neither agree/disagree,Agree,Disagree,Strongly agree,Agree,Neither agree/disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree/disagree,Disagree,NA,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree/disagree,Agree,Agree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,NA,Strongly disagree,Strongly agree,Neither agree/disagree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1997,Isle of Man
Yes,1,1,0,0,0,0,0,0,0,0,5,Agree,Disagree,Neither agree/disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,NA,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Neither agree/disagree,Agree,Strongly disagree,Neither agree/disagree,Male,"A-level, level 3 or equivalent",1991,Isle of Man
Yes,1,0,0,0,0,0,0,0,1,0,3,Neither agree/disagree,Agree,Disagree,Neither agree/disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,NA,Strongly disagree,Strongly disagree,NA,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neither agree/disagree,Disagree,Male,"GCSE, level 2 or equivalent",1996,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,0,4,Agree,Disagree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Agree,Disagree,Agree,NA,Disagree,NA,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree/disagree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",1995,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,1,31,Neither agree/disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,NA,Disagree,Agree,NA,Agree,Agree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,0,2,Agree,Strongly agree,Neither agree/disagree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Agree,NA,Agree,NA,Disagree,Agree,NA,NA,Strongly agree,Disagree,Disagree,Agree,Disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Isle of Man
Yes,1,1,0,0,0,0,0,0,0,0,20,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly disagree,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,NA,NA,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,Isle of Man
Yes,1,0,0,0,0,0,0,0,1,0,7,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,NA,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Neither agree/disagree,Agree,Neither agree/disagree,Strongly disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",,Isle of Man
Yes,0,0,0,0,1,0,0,1,1,0,2,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,NA,NA,Agree,Agree,Strongly disagree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",,Isle of Man
Yes,1,0,0,0,0,0,0,0,0,0,3,Neither agree/disagree,Agree,Agree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Agree,Agree,Agree,Neither agree/disagree,Agree,NA,Disagree,Disagree,Disagree,Agree,NA,NA,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Americas
Yes,1,0,0,0,0,0,0,0,0,0,30,Neither agree/disagree,Agree,Disagree,Agree,Agree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,NA,Strongly agree,Disagree,Disagree,Disagree,Neither agree/disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2002,Americas
Yes,1,0,0,0,0,0,0,0,0,0,6,Agree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Agree,NA,NA,NA,Disagree,Strongly agree,Strongly agree,NA,Agree,NA,Strongly disagree,Strongly agree,Agree,Strongly disagree,Female,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1997,Asia
Yes,1,0,0,0,0,0,0,0,0,0,4,Disagree,Agree,Disagree,Agree,Agree,Neither agree/disagree,Strongly agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NA,NA,Strongly agree,Strongly disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Americas
Yes,1,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Neither agree/disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,NA,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2003,Americas
Yes,1,0,0,1,0,0,0,0,1,0,15,Neither agree/disagree,Strongly agree,Neither agree/disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Male,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1995,Asia
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Disagree,Strongly agree,Neither agree/disagree,Neither agree/disagree,Agree,Disagree,Disagree,Neither agree/disagree,Disagree,Disagree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,Neither agree/disagree,Agree,Neither agree/disagree,Disagree,Female,Not studying right now,2003,Asia
Yes,1,0,0,0,0,0,0,0,0,0,1,Neither agree/disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Neither agree/disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,NA,Agree,Agree,Neither agree/disagree,Agree,Disagree,Disagree,Male,"Undergraduate degree or equivalent (BSc, BA etc.)",2005,European Union
Yes,1,0,0,0,1,0,0,0,0,0,1,Neither agree/disagree,Agree,Disagree,Strongly agree,Agree,Neither agree/disagree,Disagree,Agree,Disagree,Disagree,Neither agree/disagree,Strongly disagree,Strongly disagree,NA,Agree,Disagree,Agree,Agree,Agree,Disagree,NA,Agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Agree,Agree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Agree,Agree,NA,Neither agree/disagree,Agree,Neither agree/disagree,Disagree,Disagree,Disagree,NA,Disagree,NA,Disagree,Disagree,NA,Disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2005,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,10,Agree,Neither agree/disagree,Agree,Strongly agree,Neither agree/disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,NA,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree/disagree,Agree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2005,United Kingdom
No,0,0,0,0,0,0,0,0,0,0,0,Neither agree/disagree,Strongly disagree,Neither agree/disagree,Agree,Neither agree/disagree,Agree,Agree,Neither agree/disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,NA,Strongly disagree,Strongly disagree,NA,Strongly agree,Agree,NA,NA,Agree,Neither agree/disagree,Agree,Neither agree/disagree,Strongly disagree,Female,"A-level, level 3 or equivalent",,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Neither agree/disagree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Agree,Neither agree/disagree,Neither agree/disagree,Neither agree/disagree,Disagree,NA,NA,Agree,NA,Disagree,Agree,Agree,Disagree,NA,NA,Neither agree/disagree,Neither agree/disagree,Disagree,Neither agree/disagree,Male,BTEC HNC or equivalent,2005,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,1,Neither agree/disagree,Agree,Disagree,Agree,Neither agree/disagree,Disagree,Agree,Agree,Agree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,NA,Agree,NA,Disagree,Agree,Strongly agree,Disagree,NA,Agree,Disagree,Agree,Neither agree/disagree,Disagree,Female,"A-level, level 3 or equivalent",2004,United Kingdom
Yes,1,1,0,0,0,0,0,0,0,0,6,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Neither agree/disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,NA,Strongly disagree,NA,Agree,Agree,Strongly agree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",1997,United Kingdom
Yes,1,0,0,0,1,0,0,0,0,0,2,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Neither agree/disagree,Agree,Neither agree/disagree,Neither agree/disagree,Strongly disagree,Disagree,NA,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Neither agree/disagree,Neither agree/disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,2,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Agree,Agree,Agree,Neither agree/disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,NA,NA,Agree,Agree,NA,NA,Disagree,Strongly agree,Disagree,Strongly disagree,Female,"A-level, level 3 or equivalent",2005,United Kingdom
Yes,1,0,0,0,1,0,0,0,0,0,2,Agree,Agree,Agree,Strongly agree,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Neither agree/disagree,Disagree,Disagree,Strongly disagree,Disagree,NA,Agree,Disagree,NA,Agree,Agree,Disagree,NA,Agree,Agree,Disagree,Neither agree/disagree,Agree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,United Kingdom
Yes,1,0,0,0,0,0,0,1,1,0,6,Neither agree/disagree,Disagree,Disagree,Neither agree/disagree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,NA,NA,Strongly agree,Agree,Neither agree/disagree,Agree,Disagree,Disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,Americas
Yes,1,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Agree,Neither agree/disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Female,"Undergraduate degree or equivalent (BSc, BA etc.)",2004,Asia
Yes,1,0,0,0,0,0,0,0,0,0,0,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,Agree,Disagree,NA,Disagree,Strongly agree,Disagree,Agree,Agree,Neither agree/disagree,Agree,Agree,Male,"Postgraduate masters degree or equivalent (MSc, MA, etc.)",1986,United Kingdom
Yes,1,0,0,0,0,0,0,0,0,0,20,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree/disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,NA,Strongly agree,NA,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Female,,2004,Asia
